title_uuid,title_uid,title_node_id,title_format_paper,title_format_size,title_pub_freq,title_date,title_genre_1,title_genre_2,title_title_j,title_role_editor,title_imprint,title_pub_add,title_pub_city,title_pub_stat,title_pub_nat,title_collected,title_published,title_content_url
1,10s,contexts2,slick-insert,"und, (05.x08)",monthly,1901,rom,sex,10 Story Book,Harry Stephen Keeler,10 Story Book Corp.,529 S. Clark St.,Chicago,IL,US,1,455,http://www.pulpmags.org/contexts/nodes/girlie-pulps-the.html
2,10w,pulpmags,pulp-paper,"std, (07.x10)",monthly,1936,wes,adv,10 Story Western,Harry Widmer,"Popular Publications, Inc.",205 E. 42nd St.,New York,NY,US,1,194,http://www.pulpmags.org/content/view/issues/10-story-western.html
3,15w,pulpmags,pulp-paper,"std, (07.x10)",bi-monthly,1942,wes,adv,15 Western Tales,Eiler Jacobsen,"Popular Publications, Inc.",205 E. 42nd St.,New York,NY,US,1,130,http://www.pulpmags.org/content/view/issues/15-western-tales.html
4,2gw,pulpmags,pulp-paper,"std, (07.x10)",bi-monthly,1937,wes,adv,2-Gun Western Novels,Robert O. Erisman,Western Fiction Publishing Co.,4600 Diversey Ave.,Chicago,IL,US,2,100,http://www.pulpmags.org/content/view/issues/2-gun-western.html
15,aas,pulpmags,pulp-paper,"std, (07.x10)",weekly,1920,ant,var,Argosy All-Story Weekly,Robert H. Davis,Frank A. Munsey Co.,280 Broadway Ave.,New York,NY,US,5,483,http://www.pulpmags.org/content/view/issues/argosy.html
9,aaw,contexts1,news-print,"qrt, (8.5x11)",weekly,1909,adv,boy,All-Around Weekly,Luis Senarens,"Frank Tousey, Pub.",24 Union Square,New York,NY,US,1,72,http://www.pulpmags.org/contexts/nodes/nickel-weeklies.html
5,adv,pulpmags,pulp-paper,"std, (07.x10)",monthly,1910,adv,ant,Adventure,Trumbull White; Arthur Hoffman,"Ridgway Company, The",Spring & Macdougal St.,New York,NY,US,30,881,http://www.pulpmags.org/content/view/issues/adventure.html
6,air,pulpmags,pulp-paper,"std, (07.x10)",monthly,1927,avi,adv,Air Stories,J. B. Kelly,"Fiction House, Inc.",271 Madison Ave.,New York,NY,US,1,61,http://www.pulpmags.org/content/view/issues/air-stories.html
13,ams,pulpmags,pulp-paper,"ovr, (08.x11)",monthly,1926,sff,adv,Amazing Stories,Hugo Gernsback,Experimenter Publishing Co.,53 Park Place,New York,NY,US,21,609,http://www.pulpmags.org/content/view/issues/amazing-stories.html
17,arg,pulpmags,pulp-paper,"std, (07.x10)",monthly,1896,ant,adv,"Argosy, The","Matthew White, Jr.",Frank A. Munsey Co.,280 Broadway Ave.,New York,NY,US,12,2577,http://www.pulpmags.org/content/view/issues/argosy.html
16,arm,pulpmags,pulp-paper,"std, (07.x10)",weekly,1919,ant,rai,Argosy and Railroad Man's Magazine,"Matthew White, Jr.",Frank A. Munsey Co.,280 Broadway Ave.,New York,NY,US,1,18,http://www.pulpmags.org/content/view/issues/argosy.html
18,asf,pulpmags,pulp-paper,"std, (07.x10)",monthly,1938,sff,tec,Astounding Science-Fiction,"John W. Cambell, Jr.",Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,1,257,http://www.pulpmags.org/content/view/issues/astounding-stories.html
10,asl,contexts1,news-print,"qrt, (8.5x11)",weekly,1905,spo,boy,All-Sports Library,(House Name),"Winner Library, Co., The",2 Duane St.,New York,NY,US,1,56,http://www.pulpmags.org/contexts/nodes/nickel-weeklies.html
11,asm,pulpmags,pulp-paper,"std, (07.x10)",monthly,1905,ant,sff,"All-Story Magazine, The",Robert H. Davis,Frank A. Munsey Co.,280 Broadway Ave.,New York,NY,US,14,444,http://www.pulpmags.org/content/view/issues/all-story-magazine.html
